element,level,t,r,theta,phi,Interval size,Height,D
15064,16,7.347570227571922,0.35672144239238646,-2.4174734738075,2.2297520796598063,15708,10,4
15107,17,7.388489567171151,1.048424222415402,1.9346706002525316,0.5808003519071606,15708,10,4
15247,17,7.557533355805305,0.5983538923037969,2.52700935472665,1.3765898536913073,15708,10,4
15326,17,7.650394016745087,0.7646359528145488,-2.0948945072955594,2.1498558349239816,15708,10,4
15332,17,7.667366700711209,0.3463927175404414,-2.612856380386174,1.7885231088144846,15708,10,4
15414,18,7.773725167209613,1.130920076306907,1.595311070397947,0.26592419987486754,15708,10,4
15456,18,7.876116934502257,0.8717420631953248,-2.048281578032056,2.0644191695483407,15708,10,4
15463,18,7.885085865139533,0.7231921474169085,1.6090079663815031,0.41295095026868767,15708,10,4
15487,18,7.940391144235333,0.7324746512870514,2.673339581978797,1.2548393528143125,15708,10,4
15513,18,8.02627517199947,0.7774496560019671,1.9906186880491223,1.268788820917886,15708,10,4
15551,18,8.118633839156095,0.8282335396878181,1.6016564168943195,0.9542176593026922,15708,10,4
15572,18,8.179232960836396,0.1729381151321616,1.5899325417098105,2.288110467205053,15708,10,4
15563,19,8.142774670361844,0.7651347405334984,-2.0262718391621983,1.9415351468379458,15708,10,4
15586,19,8.22459051965359,1.0470825664479326,0.6403925812395038,0.38575712792810163,15708,10,4
15661,19,8.664880188553107,0.5094331593339335,1.7485999478925767,1.5777383124784234,15708,10,4
15654,20,8.618766637742596,0.6714590604570476,-1.805051658030415,2.0705671259240215,15708,10,4
15667,20,8.724548977284398,0.9025575910845546,1.4339028438854216,0.5513711677323282,15708,10,4
15668,20,8.731010516028922,0.8424157437945574,1.187749743498195,0.30497902102914276,15708,10,4
15672,20,8.755144694210827,0.8063978196352388,-2.58066525680038,2.569110654959088,15708,10,4
15676,20,8.765951143809433,0.5309880079666802,-1.1754584980871436,2.4634558969460727,15708,10,4
15680,20,8.79257909166111,0.40541113016317476,-1.395746439284048,1.2549461628156968,15708,10,4
15696,20,8.966411589307262,0.6255751459853061,1.4456043276418886,1.253209264203941,15708,10,4
15703,20,9.110519759916093,0.4304996548688452,1.2362489784031356,1.077975266793722,15708,10,4
15704,20,9.163967423346728,0.3450277342946367,0.6406303562640052,1.048720901714372,15708,10,4
15702,21,9.074865674936902,0.723190018459621,-1.9943474990119299,1.7412734775385896,15708,10,4
15705,21,9.402591667151945,0.5602456638658878,-0.47713511624568083,1.781100613695885,15708,10,4
15706,21,9.429045849390032,0.43709117249140245,0.5317672973874858,1.0607855585293267,15708,10,4
15708,21,9.639508887438518,0.28580345681731084,2.2429425920429127,1.4980206247211527,15708,10,4
15709,22,10.0,0.0,0,0,15708,10,4
0,0,0.0,0.0,0,0,15708,10,4
1,1,0.33152205850438654,0.3083386864170607,1.5762807052648262,2.289870497594016,15708,10,4
4,2,0.8265389737007578,0.40533486062746976,2.656998325543594,1.3646979126451686,15708,10,4
6,2,0.9285524650000476,0.7104059200258821,-0.16835054882852507,2.7588473009356953,15708,10,4
10,2,0.9825849304198719,0.5282089248588052,-1.4981156728359644,2.2998381009736812,15708,10,4
12,3,1.0556131716410067,0.5707784306088227,2.464522594847356,1.3269919159185461,15708,10,4
34,3,1.395013000643488,0.7712398160301777,-1.404729065396809,2.707448631164439,15708,10,4
35,4,1.3978023126853945,0.8249870023052872,2.3315389361932555,1.4411731426251688,15708,10,4
58,4,1.532609421143576,0.42089006216791214,-2.904468480024698,1.3349756582784027,15708,10,4
91,4,1.66348526262729,0.6742724844564364,2.719727238382856,1.8984096997498183,15708,10,4
109,4,1.7472035386103657,1.0493816888902132,-1.9476264501417138,2.7769889226463307,15708,10,4
141,5,1.877076854993528,0.49864911757765623,2.816891872328543,0.8800270912226318,15708,10,4
167,5,1.9260664851801845,0.41489768734860166,2.8997048693866487,2.0324013518129433,15708,10,4
188,5,1.9733735315969947,0.7819700948565413,3.0123958829188955,1.5463088466363681,15708,10,4
218,5,2.0528159237432497,0.6963441888249127,-2.5571768936539105,1.8394150671374636,15708,10,4
284,5,2.1734821749247457,0.18836383442656895,-3.101621370327248,1.2376346948402013,15708,10,4
303,5,2.213769307658863,0.5638522749811573,-2.770954572052525,1.8181532776374254,15708,10,4
467,5,2.463379654082151,1.2547429563918886,-2.4441372730490194,2.2682535145339706,15708,10,4
324,6,2.2770151888494916,0.772695580231506,2.6443171298751627,0.622807368494793,15708,10,4
385,6,2.3710891611930607,0.6786554994982337,-2.882961384639789,2.102912255257815,15708,10,4
428,6,2.423315635412023,0.37880012310341965,2.811286159597655,1.3842366114817604,15708,10,4
537,6,2.562228873013529,0.3454042378387391,-3.0482062182338856,1.5878621970277425,15708,10,4
618,6,2.6520394234999625,0.990929037132452,-2.640746109947577,1.8400060345657505,15708,10,4
661,6,2.706458382806465,1.3416513187987027,-2.6244688905454003,2.187853306398665,15708,10,4
843,7,2.893458430387883,0.5861443223968893,-3.108950897648281,1.3108716639229554,15708,10,4
909,7,2.945549474031651,1.0132523764575598,-2.82813922921139,2.3531216382768636,15708,10,4
924,7,2.9555223037540834,1.0557649004311978,-2.4687923953430317,2.1507777460697692,15708,10,4
990,7,3.0039506548104367,1.1504505912355159,-2.9145330746665596,1.7961116698019985,15708,10,4
1090,7,3.0816456010154436,0.8511083877168932,-3.050309683606562,2.270067044386874,15708,10,4
1290,7,3.211334222797534,1.395112386609285,-2.8276369333250773,2.305739871270959,15708,10,4
1200,8,3.152701930788233,0.7337956989189445,-3.0434903072368362,1.3116448607168838,15708,10,4
1636,8,3.3960455133913303,0.639145166416809,-2.5843498210064966,2.1519122503517125,15708,10,4
1706,8,3.4296130025012648,1.304870584459597,-2.9245172412183433,2.270073696883441,15708,10,4
1992,8,3.556981493366289,0.6694516796093481,3.1173840030691125,1.9857636393390863,15708,10,4
2792,9,3.87379042128965,1.1400170300527852,3.0627420403047143,2.384361067825355,15708,10,4
3466,9,4.089540554577914,0.4190408044913091,2.6617414019629972,2.6221598787585316,15708,10,4
4317,10,4.303319270011379,0.565513800085571,2.5382713296281296,2.784500217890142,15708,10,4
4632,10,4.370257118902181,1.041760346798055,2.8686985800806997,2.413412599099746,15708,10,4
6150,11,4.695155699290254,0.8194991900159746,2.655235206786674,2.511402346039594,15708,10,4
7309,11,4.902043178361831,0.7288430137854391,-0.8068688423998466,2.9464089158386444,15708,10,4
9464,12,5.256756287879915,0.8447769229402946,-2.6019038943340558,2.847840607547317,15708,10,4
9571,12,5.276553356823646,1.0282691428643886,2.0500108167588666,3.077610090640107,15708,10,4
10981,13,5.566998567159812,0.9864833592372577,1.2385215795144076,3.1319337461331074,15708,10,4
12938,14,6.121212998219423,0.8996896975933534,-0.11242224704585786,2.562840367188709,15708,10,4
13551,15,6.371476654507104,0.7456230736776431,0.3025287817000463,2.5366446581060638,15708,10,4
13993,16,6.585993213465321,0.6289147956605681,0.559016797253714,2.3541320566272237,15708,10,4
14026,16,6.608425351558979,0.550768180834493,0.010770247967594631,2.6505823379996776,15708,10,4
14482,17,6.875830824616912,0.4725112962147991,0.7062809035943289,2.434573820313191,15708,10,4
