element,level,t,r,theta,phi,pred spherical_coordinates_N1675k.csv
323,5,0.0676445782166949,0.03409542534128242,0.532075605116146,2.0894059354373087,[103]
381,5,0.07036243959099364,0.03278119154519251,1.0596020385000684,1.9296920969596576,[ 96 103 244]
533,5,0.07738606614258581,0.03846312262460528,0.3476234993331004,1.5481679286703085,[152]
635,6,0.08072157389917767,0.03216442182268406,0.8248575648416046,1.7936845607795355,[381]
858,6,0.08826669544600063,0.04502376864875078,0.2997417349357982,1.5737895255285905,[533]
870,6,0.08849155532996333,0.04327424968518738,0.9516186534317124,1.6172784109356366,[381]
896,6,0.0893808297344647,0.041964923030568514,0.6170229970212532,2.0443462460218877,[323 381]
1259,7,0.09721238773495655,0.03981526780411659,0.32262663119394147,1.6899611127146081,[858]
1701,7,0.10492923767880824,0.044584462837153796,0.9370595390959466,1.915593545433614,[635 870 896]
1508,8,0.10191425461143244,0.037936550277555096,0.42468208501430244,1.6918977392522923,[1259]
2597,8,0.11681226540517275,0.04839424337761379,0.9873263939326943,1.9653572081441866,[1701]
1910,9,0.10787742877760675,0.035376490245456464,0.5265483953699157,1.744979565454662,[1508]
2981,9,0.12108585893068147,0.048605149154644596,1.032295156118907,2.043319646542349,[2597]
3165,10,0.12291491215307648,0.04109028832110511,0.3951969483753396,1.4745488447749895,[1910]
4624,10,0.1358814197861048,0.04820890403384921,1.214804331273467,1.924548411284797,[2981]
5444,10,0.14148024621646282,0.05714023089090679,0.7692445002266091,2.1754940044160147,[1910 2981]
4363,11,0.13386390593893582,0.04054955341313227,0.29726435542713353,1.6827379266952804,[3165]
7046,11,0.1511721510559162,0.061517013210669484,1.171891941327726,1.9396760250537721,[4624]
7098,11,0.1514529656911061,0.06263253509531651,0.6917290052966366,2.059797744501176,[5444]
7075,12,0.15134907952217203,0.05654903156807149,0.3072954348800824,1.5849434517920202,[4363]
10620,12,0.16789143768064452,0.06375240444204221,0.9823240362004572,1.975800935619832,[7046]
10832,12,0.16869050450123013,0.06326921867398833,0.7642611278496017,2.118080662553408,[7098]
9917,13,0.16495562520141915,0.055117324565317115,0.4386943908692217,1.6578969398599828,[7075]
14871,13,0.18224005594451653,0.06058564399090985,0.8201073076949663,1.9201442576666488,[10620 10832]
12580,14,0.1749320416391842,0.05818690633204158,0.45849618759222366,1.6766029929230941,[9917]
12714,14,0.17544095287289985,0.06013274715788534,0.5846493259937927,1.5994591972827923,[9917]
14071,14,0.17983087731300773,0.05327758144192516,0.6409557339127752,1.7777475746083264,[9917]
17014,14,0.18837366111074927,0.06147984957568998,0.7580216638680688,1.9715371935981971,[14871]
